email_id,subject,body,category,tone,sentiment,sender,recipient,created_at,clean_subject,clean_body,combined_text,features,intent,formality,greeting,closing
E00010,Confirmation: the customer onboarding flow,"Hello Priya,

Your request for the customer onboarding flow has been received and confirmed. Reference number: INV-01006.

Regards,
Jamie",confirmation,neutral,positive,Jamie,Priya,2024-06-17T00:00:00,Confirmation: the customer onboarding flow,"Hello Priya,

Your request for the customer onboarding flow has been received and confirmed. Reference number: INV-01006.

Regards,
Jamie","Confirmation: the customer onboarding flow

Hello Priya,

Your request for the customer onboarding flow has been received and confirmed. Reference number: INV-01006.

Regards,
Jamie","{'greeting': '', 'closing': 'Regards,', 'intent': 'confirmation', 'formality': 'neutral', 'placeholders': ['recipient_name', 'sender_name'], 'action_words': ['confirm']}",confirmation,neutral,,"Regards,"
E00011,URGENT: the migration project,"Hi Sam,

This is urgent — could you please approve the change request regarding the migration project by next Monday? Let me know if you anticipate any blockers.

Thanks,
Marco",urgent_request,formal,negative,Marco,Sam,2024-02-17T00:00:00,URGENT: the migration project,"Hi Sam,

This is urgent — could you please approve the change request regarding the migration project by next Monday? Let me know if you anticipate any blockers.

Thanks,
Marco","URGENT: the migration project

Hi Sam,

This is urgent — could you please approve the change request regarding the migration project by next Monday? Let me know if you anticipate any blockers.

Thanks,
Marco","{'greeting': '', 'closing': 'Thanks,', 'intent': 'request', 'formality': 'neutral', 'placeholders': ['recipient_name', 'sender_name', 'date'], 'action_words': ['approve']}",request,neutral,,"Thanks,"
E00012,Exciting news about the customer onboarding flow,"Dear Maya,

We are pleased to announce the customer onboarding flow. This will help us merge the pull request. More details to follow soon.

Best regards,
Lina",announcement,formal,positive,Lina,Maya,2024-10-08T00:00:00,Exciting news about the customer onboarding flow,"Dear Maya,

We are pleased to announce the customer onboarding flow. This will help us merge the pull request. More details to follow soon.

Best regards,
Lina","Exciting news about the customer onboarding flow

Dear Maya,

We are pleased to announce the customer onboarding flow. This will help us merge the pull request. More details to follow soon.

Best regards,
Lina","{'greeting': '', 'closing': 'Best regards,', 'intent': 'request', 'formality': 'formal', 'placeholders': ['recipient_name', 'sender_name'], 'action_words': []}",request,formal,,"Best regards,"
E00013,Confirmed — the product launch,"Hi Priya,

This email confirms that the product launch is scheduled for next quarter. Please let me know if anything changes.

Thanks,
Ananya",confirmation,neutral,positive,Ananya,Priya,2024-02-20T00:00:00,Confirmed — the product launch,"Hi Priya,

This email confirms that the product launch is scheduled for next quarter. Please let me know if anything changes.

Thanks,
Ananya","Confirmed — the product launch

Hi Priya,

This email confirms that the product launch is scheduled for next quarter. Please let me know if anything changes.

Thanks,
Ananya","{'greeting': '', 'closing': 'Thanks,', 'intent': 'confirmation', 'formality': 'neutral', 'placeholders': ['recipient_name', 'sender_name'], 'action_words': ['confirm', 'schedule']}",confirmation,neutral,,"Thanks,"
E00014,Update on the Q3 roadmap,"Dear Morgan,

We are pleased to announce the Q3 roadmap. This will help us share the latest mockups. More details to follow soon.

Best regards,
Riley",announcement,formal,positive,Riley,Morgan,2024-04-23T00:00:00,Update on the Q3 roadmap,"Dear Morgan,

We are pleased to announce the Q3 roadmap. This will help us share the latest mockups. More details to follow soon.

Best regards,
Riley","Update on the Q3 roadmap

Dear Morgan,

We are pleased to announce the Q3 roadmap. This will help us share the latest mockups. More details to follow soon.

Best regards,
Riley","{'greeting': '', 'closing': 'Best regards,', 'intent': 'request', 'formality': 'formal', 'placeholders': ['recipient_name', 'sender_name'], 'action_words': ['share', 'update']}",request,formal,,"Best regards,"
E00015,Quick sync on the security audit,"Hi Morgan,

I hope you're doing well. Could we schedule a meeting next week to discuss the security audit? I'm flexible on timing — please share a few slots that work for you.

Best regards,
Drew",meeting_request,formal,neutral,Drew,Morgan,2024-10-05T00:00:00,Quick sync on the security audit,"Hi Morgan,

I hope you're doing well. Could we schedule a meeting next week to discuss the security audit? I'm flexible on timing — please share a few slots that work for you.

Best regards,
Drew","Quick sync on the security audit

Hi Morgan,

I hope you're doing well. Could we schedule a meeting next week to discuss the security audit? I'm flexible on timing — please share a few slots that work for you.

Best regards,
Drew","{'greeting': '', 'closing': 'Best regards,', 'intent': 'request', 'formality': 'neutral', 'placeholders': ['recipient_name', 'sender_name'], 'action_words': ['schedule', 'share']}",request,neutral,,"Best regards,"
E00016,Time-sensitive: the Q3 roadmap,"Dear Alex,

We need your immediate attention on inaccurate invoice. Please update the roadmap as soon as possible.

Regards,
Drew",urgent_request,formal,negative,Drew,Alex,2024-06-20T00:00:00,Time-sensitive: the Q3 roadmap,"Dear Alex,

We need your immediate attention on inaccurate invoice. Please update the roadmap as soon as possible.

Regards,
Drew","Time-sensitive: the Q3 roadmap

Dear Alex,

We need your immediate attention on inaccurate invoice. Please update the roadmap as soon as possible.

Regards,
Drew","{'greeting': '', 'closing': 'Regards,', 'intent': 'request', 'formality': 'formal', 'placeholders': ['recipient_name', 'sender_name'], 'action_words': ['invoice', 'update']}",request,formal,,"Regards,"
E00017,Unacceptable experience with the analytics dashboard,"Dear Sam,

I'm writing to express my frustration with communication gap. This has caused significant disruption and I would appreciate a prompt response on how you intend to resolve this.

Regards,
Cameron",complaint,formal,negative,Cameron,Sam,2024-12-16T00:00:00,Unacceptable experience with the analytics dashboard,"Dear Sam,

I'm writing to express my frustration with communication gap. This has caused significant disruption and I would appreciate a prompt response on how you intend to resolve this.

Regards,
Cameron","Unacceptable experience with the analytics dashboard

Dear Sam,

I'm writing to express my frustration with communication gap. This has caused significant disruption and I would appreciate a prompt response on how you intend to resolve this.

Regards,
Cameron","{'greeting': '', 'closing': 'Regards,', 'intent': 'complaint', 'formality': 'formal', 'placeholders': ['recipient_name', 'sender_name'], 'action_words': ['resolve', 'sign']}",complaint,formal,,"Regards,"
E00018,We're sorry about billing discrepancy,"Hi Sam,

I'm truly sorry for the inconvenience caused by billing discrepancy. We've identified the root cause and are working on a fix. I'll keep you updated.

Best,
Riley",apology,formal,negative,Riley,Sam,2024-07-17T00:00:00,We're sorry about billing discrepancy,"Hi Sam,

I'm truly sorry for the inconvenience caused by billing discrepancy. We've identified the root cause and are working on a fix. I'll keep you updated.

Best,
Riley","We're sorry about billing discrepancy

Hi Sam,

I'm truly sorry for the inconvenience caused by billing discrepancy. We've identified the root cause and are working on a fix. I'll keep you updated.

Best,
Riley","{'greeting': '', 'closing': '', 'intent': 'apology', 'formality': 'neutral', 'placeholders': ['recipient_name'], 'action_words': ['update']}",apology,neutral,,
E00019,Update on the hiring pipeline,"Dear Priya,

We are pleased to announce the hiring pipeline. This will help us issue a refund. More details to follow soon.

Best regards,
Lina",announcement,formal,positive,Lina,Priya,2024-11-11T00:00:00,Update on the hiring pipeline,"Dear Priya,

We are pleased to announce the hiring pipeline. This will help us issue a refund. More details to follow soon.

Best regards,
Lina","Update on the hiring pipeline

Dear Priya,

We are pleased to announce the hiring pipeline. This will help us issue a refund. More details to follow soon.

Best regards,
Lina","{'greeting': '', 'closing': 'Best regards,', 'intent': 'request', 'formality': 'formal', 'placeholders': ['recipient_name', 'sender_name'], 'action_words': ['update']}",request,formal,,"Best regards,"
E00020,Our apologies regarding the customer onboarding flow,"Dear Maya,

Please accept our sincere apologies for the missing line items. We are taking immediate steps to ensure this does not happen again. As a goodwill gesture, we'd like to offer process the payment.

Kind regards,
Pat",apology,formal,negative,Pat,Maya,2024-05-08T00:00:00,Our apologies regarding the customer onboarding flow,"Dear Maya,

Please accept our sincere apologies for the missing line items. We are taking immediate steps to ensure this does not happen again. As a goodwill gesture, we'd like to offer process the payment.

Kind regards,
Pat","Our apologies regarding the customer onboarding flow

Dear Maya,

Please accept our sincere apologies for the missing line items. We are taking immediate steps to ensure this does not happen again. As a goodwill gesture, we'd like to offer process the payment.

Kind regards,
Pat","{'greeting': '', 'closing': 'Kind regards,', 'intent': 'apology', 'formality': 'formal', 'placeholders': ['recipient_name', 'sender_name'], 'action_words': ['pay']}",apology,formal,,"Kind regards,"
E00021,Exciting news about the Q3 roadmap,"Hi Jordan,

Quick announcement — the Q3 roadmap goes live on next quarter. We'll share follow-up materials shortly.

Thanks,
Marco",announcement,formal,positive,Marco,Jordan,2024-03-28T00:00:00,Exciting news about the Q3 roadmap,"Hi Jordan,

Quick announcement — the Q3 roadmap goes live on next quarter. We'll share follow-up materials shortly.

Thanks,
Marco","Exciting news about the Q3 roadmap

Hi Jordan,

Quick announcement — the Q3 roadmap goes live on next quarter. We'll share follow-up materials shortly.

Thanks,
Marco","{'greeting': '', 'closing': 'Thanks,', 'intent': 'announcement', 'formality': 'neutral', 'placeholders': ['recipient_name', 'sender_name'], 'action_words': ['share']}",announcement,neutral,,"Thanks,"
E00022,Quick follow-up regarding the product launch,"Hi Taylor,

Just circling back on the product launch. Did you get a chance to review the materials I sent over? Happy to jump on a call if it's easier.

Thanks,
Pat",follow_up,neutral,neutral,Pat,Taylor,2024-07-15T00:00:00,Quick follow-up regarding the product launch,"Hi Taylor,

Just circling back on the product launch. Did you get a chance to review the materials I sent over? Happy to jump on a call if it's easier.

Thanks,
Pat","Quick follow-up regarding the product launch

Hi Taylor,

Just circling back on the product launch. Did you get a chance to review the materials I sent over? Happy to jump on a call if it's easier.

Thanks,
Pat","{'greeting': '', 'closing': 'Thanks,', 'intent': 'general', 'formality': 'neutral', 'placeholders': ['recipient_name', 'sender_name'], 'action_words': ['review']}",general,neutral,,"Thanks,"
E00023,Outstanding invoice INV-01093,"Dear Morgan,

Please find attached invoice INV-01093 for the security audit. The amount due is payable by October 15. Let me know if you have any questions.

Regards,
Cameron",invoice,formal,neutral,Cameron,Morgan,2024-08-11T00:00:00,Outstanding invoice INV-01093,"Dear Morgan,

Please find attached invoice INV-01093 for the security audit. The amount due is payable by October 15. Let me know if you have any questions.

Regards,
Cameron","Outstanding invoice INV-01093

Dear Morgan,

Please find attached invoice INV-01093 for the security audit. The amount due is payable by October 15. Let me know if you have any questions.

Regards,
Cameron","{'greeting': '', 'closing': 'Regards,', 'intent': 'request', 'formality': 'formal', 'placeholders': ['recipient_name', 'sender_name', 'deadline'], 'action_words': ['invoice', 'pay']}",request,formal,,"Regards,"
E00024,Quick introduction — the product launch,"Hi Alex,

My name is Jamie and I'm reaching out about the product launch. I'd love to learn more about your work and explore potential collaboration.

Best,
Jamie",introduction,neutral,positive,Jamie,Alex,2024-12-11T00:00:00,Quick introduction — the product launch,"Hi Alex,

My name is Jamie and I'm reaching out about the product launch. I'd love to learn more about your work and explore potential collaboration.

Best,
Jamie","Quick introduction — the product launch

Hi Alex,

My name is Jamie and I'm reaching out about the product launch. I'd love to learn more about your work and explore potential collaboration.

Best,
Jamie","{'greeting': '', 'closing': '', 'intent': 'introduction', 'formality': 'neutral', 'placeholders': ['recipient_name'], 'action_words': []}",introduction,neutral,,
E00025,Confirmed — the migration project,"Hello Taylor,

Your request for the migration project has been received and confirmed. Reference number: INV-01026.

Regards,
Marco",confirmation,neutral,positive,Marco,Taylor,2024-07-04T00:00:00,Confirmed — the migration project,"Hello Taylor,

Your request for the migration project has been received and confirmed. Reference number: INV-01026.

Regards,
Marco","Confirmed — the migration project

Hello Taylor,

Your request for the migration project has been received and confirmed. Reference number: INV-01026.

Regards,
Marco","{'greeting': '', 'closing': 'Regards,', 'intent': 'confirmation', 'formality': 'neutral', 'placeholders': ['recipient_name', 'sender_name'], 'action_words': ['confirm']}",confirmation,neutral,,"Regards,"
E00026,Our apologies regarding the marketing campaign,"Hi Chris,

I'm truly sorry for the inconvenience caused by missing line items. We've identified the root cause and are working on a fix. I'll keep you updated.

Best,
Pat",apology,formal,negative,Pat,Chris,2024-08-14T00:00:00,Our apologies regarding the marketing campaign,"Hi Chris,

I'm truly sorry for the inconvenience caused by missing line items. We've identified the root cause and are working on a fix. I'll keep you updated.

Best,
Pat","Our apologies regarding the marketing campaign

Hi Chris,

I'm truly sorry for the inconvenience caused by missing line items. We've identified the root cause and are working on a fix. I'll keep you updated.

Best,
Pat","{'greeting': '', 'closing': '', 'intent': 'apology', 'formality': 'neutral', 'placeholders': ['recipient_name'], 'action_words': ['update']}",apology,neutral,,
E00027,Following up on the security audit,"Hi Diego,

Just circling back on the security audit. Did you get a chance to review the materials I sent over? Happy to jump on a call if it's easier.

Thanks,
Lina",follow_up,neutral,neutral,Lina,Diego,2024-07-16T00:00:00,Following up on the security audit,"Hi Diego,

Just circling back on the security audit. Did you get a chance to review the materials I sent over? Happy to jump on a call if it's easier.

Thanks,
Lina","Following up on the security audit

Hi Diego,

Just circling back on the security audit. Did you get a chance to review the materials I sent over? Happy to jump on a call if it's easier.

Thanks,
Lina","{'greeting': '', 'closing': 'Thanks,', 'intent': 'follow_up', 'formality': 'neutral', 'placeholders': ['recipient_name', 'sender_name'], 'action_words': ['review']}",follow_up,neutral,,"Thanks,"
E00028,Our apologies regarding the Q3 roadmap,"Hi Jordan,

I'm truly sorry for the inconvenience caused by missing line items. We've identified the root cause and are working on a fix. I'll keep you updated.

Best,
Pat",apology,formal,negative,Pat,Jordan,2024-08-29T00:00:00,Our apologies regarding the Q3 roadmap,"Hi Jordan,

I'm truly sorry for the inconvenience caused by missing line items. We've identified the root cause and are working on a fix. I'll keep you updated.

Best,
Pat","Our apologies regarding the Q3 roadmap

Hi Jordan,

I'm truly sorry for the inconvenience caused by missing line items. We've identified the root cause and are working on a fix. I'll keep you updated.

Best,
Pat","{'greeting': '', 'closing': '', 'intent': 'apology', 'formality': 'neutral', 'placeholders': ['recipient_name'], 'action_words': ['update']}",apology,neutral,,
E00029,Issue with the product launch,"Dear Maya,

I'm writing to express my frustration with billing discrepancy. This has caused significant disruption and I would appreciate a prompt response on how you intend to resolve this.

Regards,
Jamie",complaint,formal,negative,Jamie,Maya,2024-11-26T00:00:00,Issue with the product launch,"Dear Maya,

I'm writing to express my frustration with billing discrepancy. This has caused significant disruption and I would appreciate a prompt response on how you intend to resolve this.

Regards,
Jamie","Issue with the product launch

Dear Maya,

I'm writing to express my frustration with billing discrepancy. This has caused significant disruption and I would appreciate a prompt response on how you intend to resolve this.

Regards,
Jamie","{'greeting': '', 'closing': 'Regards,', 'intent': 'complaint', 'formality': 'formal', 'placeholders': ['recipient_name', 'sender_name'], 'action_words': ['resolve', 'sign']}",complaint,formal,,"Regards,"
E00030,Thanks for the the security audit,"Hello Alex,

I really appreciate your help with the security audit. Looking forward to working together again.

Thanks,
Drew",thank_you,neutral,positive,Drew,Alex,2024-01-29T00:00:00,Thanks for the the security audit,"Hello Alex,

I really appreciate your help with the security audit. Looking forward to working together again.

Thanks,
Drew","Thanks for the the security audit

Hello Alex,

I really appreciate your help with the security audit. Looking forward to working together again.

Thanks,
Drew","{'greeting': '', 'closing': 'Thanks,', 'intent': 'thank_you', 'formality': 'neutral', 'placeholders': ['recipient_name', 'sender_name'], 'action_words': []}",thank_you,neutral,,"Thanks,"
E00031,Appreciate your help with the analytics dashboard,"Hello Alex,

I really appreciate your help with the analytics dashboard. Looking forward to working together again.

Thanks,
Ananya",thank_you,neutral,positive,Ananya,Alex,2024-06-17T00:00:00,Appreciate your help with the analytics dashboard,"Hello Alex,

I really appreciate your help with the analytics dashboard. Looking forward to working together again.

Thanks,
Ananya","Appreciate your help with the analytics dashboard

Hello Alex,

I really appreciate your help with the analytics dashboard. Looking forward to working together again.

Thanks,
Ananya","{'greeting': '', 'closing': 'Thanks,', 'intent': 'thank_you', 'formality': 'neutral', 'placeholders': ['recipient_name', 'sender_name'], 'action_words': []}",thank_you,neutral,,"Thanks,"
E00032,Confirmed — the Q3 roadmap,"Hi Chris,

This email confirms that the Q3 roadmap is scheduled for July 22. Please let me know if anything changes.

Thanks,
Pat",confirmation,neutral,positive,Pat,Chris,2024-10-12T00:00:00,Confirmed — the Q3 roadmap,"Hi Chris,

This email confirms that the Q3 roadmap is scheduled for July 22. Please let me know if anything changes.

Thanks,
Pat","Confirmed — the Q3 roadmap

Hi Chris,

This email confirms that the Q3 roadmap is scheduled for July 22. Please let me know if anything changes.

Thanks,
Pat","{'greeting': '', 'closing': 'Thanks,', 'intent': 'confirmation', 'formality': 'neutral', 'placeholders': ['recipient_name', 'sender_name'], 'action_words': ['confirm', 'schedule']}",confirmation,neutral,,"Thanks,"
E00033,Following up on the marketing campaign,"Hello Morgan,

Following up on my previous email about the marketing campaign. Could you share an update by the end of the week?

Best,
Lina",follow_up,neutral,neutral,Lina,Morgan,2024-10-30T00:00:00,Following up on the marketing campaign,"Hello Morgan,

Following up on my previous email about the marketing campaign. Could you share an update by the end of the week?

Best,
Lina","Following up on the marketing campaign

Hello Morgan,

Following up on my previous email about the marketing campaign. Could you share an update by the end of the week?

Best,
Lina","{'greeting': '', 'closing': '', 'intent': 'follow_up', 'formality': 'neutral', 'placeholders': ['recipient_name'], 'action_words': ['share', 'update']}",follow_up,neutral,,
E00034,Following up on the analytics dashboard,"Hi Priya,

Just circling back on the analytics dashboard. Did you get a chance to review the materials I sent over? Happy to jump on a call if it's easier.

Thanks,
Jamie",follow_up,neutral,neutral,Jamie,Priya,2024-01-02T00:00:00,Following up on the analytics dashboard,"Hi Priya,

Just circling back on the analytics dashboard. Did you get a chance to review the materials I sent over? Happy to jump on a call if it's easier.

Thanks,
Jamie","Following up on the analytics dashboard

Hi Priya,

Just circling back on the analytics dashboard. Did you get a chance to review the materials I sent over? Happy to jump on a call if it's easier.

Thanks,
Jamie","{'greeting': '', 'closing': 'Thanks,', 'intent': 'follow_up', 'formality': 'neutral', 'placeholders': ['recipient_name', 'sender_name'], 'action_words': ['review']}",follow_up,neutral,,"Thanks,"
E00035,Confirmation: the hiring pipeline,"Hello Maya,

Your request for the hiring pipeline has been received and confirmed. Reference number: INV-01038.

Regards,
Riley",confirmation,neutral,positive,Riley,Maya,2024-11-07T00:00:00,Confirmation: the hiring pipeline,"Hello Maya,

Your request for the hiring pipeline has been received and confirmed. Reference number: INV-01038.

Regards,
Riley","Confirmation: the hiring pipeline

Hello Maya,

Your request for the hiring pipeline has been received and confirmed. Reference number: INV-01038.

Regards,
Riley","{'greeting': '', 'closing': 'Regards,', 'intent': 'confirmation', 'formality': 'neutral', 'placeholders': ['recipient_name', 'sender_name'], 'action_words': ['confirm']}",confirmation,neutral,,"Regards,"
E00036,Checking in on the marketing campaign,"Hi Morgan,

Just circling back on the marketing campaign. Did you get a chance to review the materials I sent over? Happy to jump on a call if it's easier.

Thanks,
Drew",follow_up,neutral,neutral,Drew,Morgan,2024-02-25T00:00:00,Checking in on the marketing campaign,"Hi Morgan,

Just circling back on the marketing campaign. Did you get a chance to review the materials I sent over? Happy to jump on a call if it's easier.

Thanks,
Drew","Checking in on the marketing campaign

Hi Morgan,

Just circling back on the marketing campaign. Did you get a chance to review the materials I sent over? Happy to jump on a call if it's easier.

Thanks,
Drew","{'greeting': '', 'closing': 'Thanks,', 'intent': 'follow_up', 'formality': 'neutral', 'placeholders': ['recipient_name', 'sender_name'], 'action_words': ['check', 'review']}",follow_up,neutral,,"Thanks,"
E00037,Introducing Marco,"Hello Morgan,

I'm Marco, the new engineering lead at Hooli. I'm excited to connect and discuss the hiring pipeline.

Looking forward,
Marco",introduction,neutral,positive,Marco,Morgan,2024-04-23T00:00:00,Introducing Marco,"Hello Morgan,

I'm Marco, the new engineering lead at Hooli. I'm excited to connect and discuss the hiring pipeline.

Looking forward,
Marco","Introducing Marco

Hello Morgan,

I'm Marco, the new engineering lead at Hooli. I'm excited to connect and discuss the hiring pipeline.

Looking forward,
Marco","{'greeting': '', 'closing': '', 'intent': 'general', 'formality': 'neutral', 'placeholders': ['recipient_name'], 'action_words': []}",general,neutral,,
E00038,Invoice INV-01026 for the analytics dashboard,"Hello Jordan,

This is a friendly reminder that invoice INV-01026 is outstanding. Could you process payment by next Monday?

Thanks,
Cameron",invoice,formal,neutral,Cameron,Jordan,2024-08-13T00:00:00,Invoice INV-01026 for the analytics dashboard,"Hello Jordan,

This is a friendly reminder that invoice INV-01026 is outstanding. Could you process payment by next Monday?

Thanks,
Cameron","Invoice INV-01026 for the analytics dashboard

Hello Jordan,

This is a friendly reminder that invoice INV-01026 is outstanding. Could you process payment by next Monday?

Thanks,
Cameron","{'greeting': '', 'closing': 'Thanks,', 'intent': 'request', 'formality': 'neutral', 'placeholders': ['recipient_name', 'sender_name', 'date'], 'action_words': ['invoice', 'pay']}",request,neutral,,"Thanks,"
