email_id,subject,body,category,tone,sentiment,sender,recipient,created_at
E00035,Confirmation: the hiring pipeline,"Hello Maya,

Your request for the hiring pipeline has been received and confirmed. Reference number: INV-01038.

Regards,
Riley",confirmation,neutral,positive,Riley,Maya,2024-11-07T00:00:00
E00036,Checking in on the marketing campaign,"Hi Morgan,

Just circling back on the marketing campaign. Did you get a chance to review the materials I sent over? Happy to jump on a call if it's easier.

Thanks,
Drew",follow_up,neutral,neutral,Drew,Morgan,2024-02-25T00:00:00
E00037,Introducing Marco,"Hello Morgan,

I'm Marco, the new engineering lead at Hooli. I'm excited to connect and discuss the hiring pipeline.

Looking forward,
Marco",introduction,neutral,positive,Marco,Morgan,2024-04-23T00:00:00
E00038,Invoice INV-01026 for the analytics dashboard,"Hello Jordan,

This is a friendly reminder that invoice INV-01026 is outstanding. Could you process payment by next Monday?

Thanks,
Cameron",invoice,formal,neutral,Cameron,Jordan,2024-08-13T00:00:00
E00039,Quick introduction — the migration project,"Hello Alex,

I'm Drew, the new product manager at Acme Corp. I'm excited to connect and discuss the migration project.

Looking forward,
Drew",introduction,neutral,positive,Drew,Alex,2024-07-04T00:00:00
E00040,Quick introduction — the hiring pipeline,"Hi Chris,

My name is Ananya and I'm reaching out about the hiring pipeline. I'd love to learn more about your work and explore potential collaboration.

Best,
Ananya",introduction,neutral,positive,Ananya,Chris,2024-03-29T00:00:00
E00041,Outstanding invoice INV-01003,"Hello Maya,

This is a friendly reminder that invoice INV-01003 is outstanding. Could you process payment by October 15?

Thanks,
Lina",invoice,formal,neutral,Lina,Maya,2024-03-11T00:00:00
E00042,Your the analytics dashboard is confirmed,"Hi Diego,

This email confirms that the analytics dashboard is scheduled for next Wednesday. Please let me know if anything changes.

Thanks,
Marco",confirmation,neutral,positive,Marco,Diego,2024-05-23T00:00:00
E00043,Our apologies regarding the Q3 roadmap,"Dear Maya,

Please accept our sincere apologies for the inaccurate invoice. We are taking immediate steps to ensure this does not happen again. As a goodwill gesture, we'd like to offer share the latest mockups.

Kind regards,
Cameron",apology,formal,negative,Cameron,Maya,2024-12-29T00:00:00
E00044,Confirmed — the new pricing plan,"Hi Sam,

This email confirms that the new pricing plan is scheduled for next Wednesday. Please let me know if anything changes.

Thanks,
Riley",confirmation,neutral,positive,Riley,Sam,2024-08-18T00:00:00
E00045,Thanks for the the Q3 roadmap,"Hello Chris,

I really appreciate your help with the Q3 roadmap. Looking forward to working together again.

Thanks,
Cameron",thank_you,neutral,positive,Cameron,Chris,2024-07-02T00:00:00
E00046,Checking in on the customer onboarding flow,"Hi Morgan,

Just circling back on the customer onboarding flow. Did you get a chance to review the materials I sent over? Happy to jump on a call if it's easier.

Thanks,
Pat",follow_up,neutral,neutral,Pat,Morgan,2024-01-17T00:00:00
E00047,Confirmed — the partnership agreement,"Hello Alex,

Your request for the partnership agreement has been received and confirmed. Reference number: INV-01079.

Regards,
Jamie",confirmation,neutral,positive,Jamie,Alex,2024-03-26T00:00:00
E00048,Thanks for the the Q3 roadmap,"Hello Priya,

I really appreciate your help with the Q3 roadmap. Looking forward to working together again.

Thanks,
Pat",thank_you,neutral,positive,Pat,Priya,2024-09-07T00:00:00
E00049,Apology for downtime,"Hi Taylor,

I'm truly sorry for the inconvenience caused by downtime. We've identified the root cause and are working on a fix. I'll keep you updated.

Best,
Marco",apology,formal,negative,Marco,Taylor,2024-06-07T00:00:00
E00050,Can we schedule a call about the new pricing plan?,"Hello Jordan,

I'd love to set up a 30 minute call to align on the new pricing plan. Are you available July 22 or later in the week?

Thanks,
Riley",meeting_request,formal,neutral,Riley,Jordan,2024-04-18T00:00:00
E00051,Quick follow-up regarding the analytics dashboard,"Hi Taylor,

Just circling back on the analytics dashboard. Did you get a chance to review the materials I sent over? Happy to jump on a call if it's easier.

Thanks,
Lina",follow_up,neutral,neutral,Lina,Taylor,2024-04-25T00:00:00
E00052,Introducing Cameron,"Hi Diego,

My name is Cameron and I'm reaching out about the hiring pipeline. I'd love to learn more about your work and explore potential collaboration.

Best,
Cameron",introduction,neutral,positive,Cameron,Diego,2024-05-29T00:00:00
E00053,Exciting news about the analytics dashboard,"Hi Sam,

Quick announcement — the analytics dashboard goes live on July 22. We'll share follow-up materials shortly.

Thanks,
Riley",announcement,formal,positive,Riley,Sam,2024-08-19T00:00:00
E00054,Hello from Cameron,"Hi Alex,

My name is Cameron and I'm reaching out about the hiring pipeline. I'd love to learn more about your work and explore potential collaboration.

Best,
Cameron",introduction,neutral,positive,Cameron,Alex,2024-05-25T00:00:00
E00055,Checking in on the product launch,"Hello Alex,

Following up on my previous email about the product launch. Could you share an update by October 15?

Best,
Cameron",follow_up,neutral,neutral,Cameron,Alex,2024-08-07T00:00:00
E00056,Quick sync on the migration project,"Hello Sam,

I'd love to set up a 30 minute call to align on the migration project. Are you available July 22 or later in the week?

Thanks,
Drew",meeting_request,formal,neutral,Drew,Sam,2024-05-11T00:00:00
E00057,Invoice INV-01004 for the hiring pipeline,"Dear Priya,

Please find attached invoice INV-01004 for the hiring pipeline. The amount due is payable by the end of the week. Let me know if you have any questions.

Regards,
Riley",invoice,formal,neutral,Riley,Priya,2024-04-12T00:00:00
E00058,Thanks for the the hiring pipeline,"Hello Priya,

I really appreciate your help with the hiring pipeline. Looking forward to working together again.

Thanks,
Marco",thank_you,neutral,positive,Marco,Priya,2024-12-08T00:00:00
E00059,Time-sensitive: the hiring pipeline,"Dear Sam,

We need your immediate attention on inaccurate invoice. Please issue a refund as soon as possible.

Regards,
Jamie",urgent_request,formal,negative,Jamie,Sam,2024-11-10T00:00:00
E00060,Thank you for the marketing campaign,"Hi Priya,

Thank you so much for the marketing campaign. Your support meant a lot and made a real difference.

Warm regards,
Drew",thank_you,neutral,positive,Drew,Priya,2024-08-08T00:00:00
E00061,Announcement: the marketing campaign,"Dear Diego,

We are pleased to announce the marketing campaign. This will help us update the roadmap. More details to follow soon.

Best regards,
Jamie",announcement,formal,positive,Jamie,Diego,2024-04-10T00:00:00
E00062,URGENT: the Q3 roadmap,"Hi Taylor,

This is urgent — could you please approve the change request regarding the Q3 roadmap by tomorrow? Let me know if you anticipate any blockers.

Thanks,
Cameron",urgent_request,formal,negative,Cameron,Taylor,2024-12-06T00:00:00
E00063,Our apologies regarding the new pricing plan,"Hi Sam,

I'm truly sorry for the inconvenience caused by outage on our staging environment. We've identified the root cause and are working on a fix. I'll keep you updated.

Best,
Riley",apology,formal,negative,Riley,Sam,2024-11-18T00:00:00
E00064,Announcement: the partnership agreement,"Hi Morgan,

Quick announcement — the partnership agreement goes live on next Wednesday. We'll share follow-up materials shortly.

Thanks,
Drew",announcement,formal,positive,Drew,Morgan,2024-03-26T00:00:00
E00065,Apology for outage on our staging environment,"Hi Morgan,

I'm truly sorry for the inconvenience caused by outage on our staging environment. We've identified the root cause and are working on a fix. I'll keep you updated.

Best,
Ananya",apology,formal,negative,Ananya,Morgan,2024-05-30T00:00:00
E00066,Confirmed — the hiring pipeline,"Hello Alex,

Your request for the hiring pipeline has been received and confirmed. Reference number: INV-01044.

Regards,
Drew",confirmation,neutral,positive,Drew,Alex,2024-05-01T00:00:00
E00067,Complaint regarding the Q3 roadmap,"Hello Jordan,

I am very unhappy with the recent the Q3 roadmap. The billing discrepancy is unacceptable. Please investigate and respond by next Monday.

Sincerely,
Riley",complaint,formal,negative,Riley,Jordan,2024-12-15T00:00:00
E00068,Meeting request for the hiring pipeline,"Hi Morgan,

I hope you're doing well. Could we schedule a meeting next week to discuss the hiring pipeline? I'm flexible on timing — please share a few slots that work for you.

Best regards,
Ananya",meeting_request,formal,neutral,Ananya,Morgan,2024-05-10T00:00:00
E00069,Invoice INV-01007 for the partnership agreement,"Hello Taylor,

This is a friendly reminder that invoice INV-01007 is outstanding. Could you process payment by next Monday?

Thanks,
Lina",invoice,formal,neutral,Lina,Taylor,2024-03-27T00:00:00
E00070,Hello from Pat,"Hi Diego,

My name is Pat and I'm reaching out about the Q3 roadmap. I'd love to learn more about your work and explore potential collaboration.

Best,
Pat",introduction,neutral,positive,Pat,Diego,2024-05-22T00:00:00
E00071,Meeting request for the analytics dashboard,"Hello Priya,

I'd love to set up a 30 minute call to align on the analytics dashboard. Are you available Tuesday or later in the week?

Thanks,
Cameron",meeting_request,formal,neutral,Cameron,Priya,2024-11-19T00:00:00
E00072,Exciting news about the analytics dashboard,"Hi Priya,

Quick announcement — the analytics dashboard goes live on Tuesday. We'll share follow-up materials shortly.

Thanks,
Riley",announcement,formal,positive,Riley,Priya,2024-11-16T00:00:00
E00073,Can we schedule a call about the migration project?,"Hi Chris,

I hope you're doing well. Could we schedule a meeting next week to discuss the migration project? I'm flexible on timing — please share a few slots that work for you.

Best regards,
Jamie",meeting_request,formal,neutral,Jamie,Chris,2024-03-06T00:00:00
E00074,Issue with the marketing campaign,"Hello Priya,

I am very unhappy with the recent the marketing campaign. The inaccurate invoice is unacceptable. Please investigate and respond by October 15.

Sincerely,
Cameron",complaint,formal,negative,Cameron,Priya,2024-11-20T00:00:00
E00075,Update on the hiring pipeline,"Dear Taylor,

We are pleased to announce the hiring pipeline. This will help us issue a refund. More details to follow soon.

Best regards,
Pat",announcement,formal,positive,Pat,Taylor,2024-07-26T00:00:00
E00076,Checking in on the security audit,"Hi Sam,

Just circling back on the security audit. Did you get a chance to review the materials I sent over? Happy to jump on a call if it's easier.

Thanks,
Riley",follow_up,neutral,neutral,Riley,Sam,2024-12-22T00:00:00
E00077,Unacceptable experience with the security audit,"Dear Taylor,

I'm writing to express my frustration with billing discrepancy. This has caused significant disruption and I would appreciate a prompt response on how you intend to resolve this.

Regards,
Ananya",complaint,formal,negative,Ananya,Taylor,2024-07-17T00:00:00
E00078,Thank you for the migration project,"Hello Chris,

I really appreciate your help with the migration project. Looking forward to working together again.

Thanks,
Cameron",thank_you,neutral,positive,Cameron,Chris,2024-10-24T00:00:00
E00079,Action required by the end of the week,"Dear Taylor,

We need your immediate attention on downtime. Please share the latest mockups as soon as possible.

Regards,
Jamie",urgent_request,formal,negative,Jamie,Taylor,2024-01-23T00:00:00
E00080,Confirmed — the marketing campaign,"Hi Taylor,

This email confirms that the marketing campaign is scheduled for next quarter. Please let me know if anything changes.

Thanks,
Drew",confirmation,neutral,positive,Drew,Taylor,2024-08-23T00:00:00
E00081,Apology for inaccurate invoice,"Dear Alex,

Please accept our sincere apologies for the inaccurate invoice. We are taking immediate steps to ensure this does not happen again. As a goodwill gesture, we'd like to offer share the latest mockups.

Kind regards,
Ananya",apology,formal,negative,Ananya,Alex,2024-10-04T00:00:00
E00082,Quick sync on the security audit,"Hello Taylor,

I'd love to set up a 30 minute call to align on the security audit. Are you available Tuesday or later in the week?

Thanks,
Drew",meeting_request,formal,neutral,Drew,Taylor,2024-07-13T00:00:00
E00083,Announcement: the new pricing plan,"Dear Taylor,

We are pleased to announce the new pricing plan. This will help us expedite the shipment. More details to follow soon.

Best regards,
Pat",announcement,formal,positive,Pat,Taylor,2024-11-02T00:00:00
E00084,Apology for inaccurate invoice,"Dear Alex,

Please accept our sincere apologies for the inaccurate invoice. We are taking immediate steps to ensure this does not happen again. As a goodwill gesture, we'd like to offer update the roadmap.

Kind regards,
Lina",apology,formal,negative,Lina,Alex,2024-07-24T00:00:00
E00085,Confirmation: the product launch,"Hello Morgan,

Your request for the product launch has been received and confirmed. Reference number: INV-01011.

Regards,
Cameron",confirmation,neutral,positive,Cameron,Morgan,2024-08-02T00:00:00
E00086,Quick introduction — the hiring pipeline,"Hello Morgan,

I'm Marco, the new engineering lead at Globex. I'm excited to connect and discuss the hiring pipeline.

Looking forward,
Marco",introduction,neutral,positive,Marco,Morgan,2024-09-19T00:00:00
E00087,Time-sensitive: the partnership agreement,"Hi Alex,

This is urgent — could you please issue a refund regarding the partnership agreement by the end of the week? Let me know if you anticipate any blockers.

Thanks,
Lina",urgent_request,formal,negative,Lina,Alex,2024-03-29T00:00:00
E00088,Thanks for the the migration project,"Hello Alex,

I really appreciate your help with the migration project. Looking forward to working together again.

Thanks,
Pat",thank_you,neutral,positive,Pat,Alex,2024-05-25T00:00:00
E00089,Issue with the analytics dashboard,"Hello Sam,

I am very unhappy with the recent the analytics dashboard. The communication gap is unacceptable. Please investigate and respond by next Monday.

Sincerely,
Marco",complaint,formal,negative,Marco,Sam,2024-03-05T00:00:00
E00090,Thank you for the customer onboarding flow,"Hello Maya,

I really appreciate your help with the customer onboarding flow. Looking forward to working together again.

Thanks,
Drew",thank_you,neutral,positive,Drew,Maya,2024-08-01T00:00:00
E00091,Introducing Lina,"Hello Taylor,

I'm Lina, the new engineering lead at Acme Corp. I'm excited to connect and discuss the marketing campaign.

Looking forward,
Lina",introduction,neutral,positive,Lina,Taylor,2024-07-06T00:00:00
E00092,Thanks for the the analytics dashboard,"Hello Alex,

I really appreciate your help with the analytics dashboard. Looking forward to working together again.

Thanks,
Riley",thank_you,neutral,positive,Riley,Alex,2024-08-25T00:00:00
E00093,Checking in on the product launch,"Hello Chris,

Following up on my previous email about the product launch. Could you share an update by tomorrow?

Best,
Drew",follow_up,neutral,neutral,Drew,Chris,2024-12-06T00:00:00
E00094,Payment due for the security audit,"Hello Sam,

This is a friendly reminder that invoice INV-01057 is outstanding. Could you process payment by EOD Friday?

Thanks,
Jamie",invoice,formal,neutral,Jamie,Sam,2024-10-01T00:00:00
E00095,Quick sync on the Q3 roadmap,"Hello Morgan,

I'd love to set up a 30 minute call to align on the Q3 roadmap. Are you available next Wednesday or later in the week?

Thanks,
Ananya",meeting_request,formal,neutral,Ananya,Morgan,2024-10-30T00:00:00
E00096,Outstanding invoice INV-01088,"Dear Diego,

Please find attached invoice INV-01088 for the analytics dashboard. The amount due is payable by October 15. Let me know if you have any questions.

Regards,
Pat",invoice,formal,neutral,Pat,Diego,2024-10-03T00:00:00
E00097,Quick sync on the migration project,"Hello Maya,

I'd love to set up a 30 minute call to align on the migration project. Are you available July 22 or later in the week?

Thanks,
Cameron",meeting_request,formal,neutral,Cameron,Maya,2024-02-05T00:00:00
E00098,Introducing Marco,"Hi Chris,

My name is Marco and I'm reaching out about the partnership agreement. I'd love to learn more about your work and explore potential collaboration.

Best,
Marco",introduction,neutral,positive,Marco,Chris,2024-09-22T00:00:00
E00099,Apology for missing line items,"Hi Jordan,

I'm truly sorry for the inconvenience caused by missing line items. We've identified the root cause and are working on a fix. I'll keep you updated.

Best,
Marco",apology,formal,negative,Marco,Jordan,2024-08-13T00:00:00
E00100,URGENT: the customer onboarding flow,"Hi Diego,

This is urgent — could you please update the roadmap regarding the customer onboarding flow by October 15? Let me know if you anticipate any blockers.

Thanks,
Lina",urgent_request,formal,negative,Lina,Diego,2024-10-15T00:00:00
E00101,Hello from Pat,"Hello Diego,

I'm Pat, the new product manager at Wayne Enterprises. I'm excited to connect and discuss the marketing campaign.

Looking forward,
Pat",introduction,neutral,positive,Pat,Diego,2024-08-03T00:00:00
E00102,Action required by tomorrow,"Dear Alex,

We need your immediate attention on delayed delivery. Please expedite the shipment as soon as possible.

Regards,
Drew",urgent_request,formal,negative,Drew,Alex,2024-02-08T00:00:00
E00103,Our apologies regarding the Q3 roadmap,"Dear Diego,

Please accept our sincere apologies for the inaccurate invoice. We are taking immediate steps to ensure this does not happen again. As a goodwill gesture, we'd like to offer share the latest mockups.

Kind regards,
Drew",apology,formal,negative,Drew,Diego,2024-05-29T00:00:00
E00104,Meeting request for the marketing campaign,"Hi Taylor,

I hope you're doing well. Could we schedule a meeting next week to discuss the marketing campaign? I'm flexible on timing — please share a few slots that work for you.

Best regards,
Cameron",meeting_request,formal,neutral,Cameron,Taylor,2024-06-23T00:00:00
E00105,Meeting request for the security audit,"Hi Chris,

I hope you're doing well. Could we schedule a meeting next week to discuss the security audit? I'm flexible on timing — please share a few slots that work for you.

Best regards,
Ananya",meeting_request,formal,neutral,Ananya,Chris,2024-11-20T00:00:00
E00106,Issue with the security audit,"Hello Chris,

I am very unhappy with the recent the security audit. The communication gap is unacceptable. Please investigate and respond by the end of the week.

Sincerely,
Cameron",complaint,formal,negative,Cameron,Chris,2024-03-10T00:00:00
E00107,Complaint regarding the marketing campaign,"Dear Chris,

I'm writing to express my frustration with downtime. This has caused significant disruption and I would appreciate a prompt response on how you intend to resolve this.

Regards,
Jamie",complaint,formal,negative,Jamie,Chris,2024-09-27T00:00:00
E00108,Introducing Riley,"Hi Taylor,

My name is Riley and I'm reaching out about the product launch. I'd love to learn more about your work and explore potential collaboration.

Best,
Riley",introduction,neutral,positive,Riley,Taylor,2024-11-23T00:00:00
E00109,Confirmation: the new pricing plan,"Hi Sam,

This email confirms that the new pricing plan is scheduled for next Wednesday. Please let me know if anything changes.

Thanks,
Lina",confirmation,neutral,positive,Lina,Sam,2024-02-11T00:00:00
E00110,Invoice INV-01085 for the customer onboarding flow,"Hello Sam,

This is a friendly reminder that invoice INV-01085 is outstanding. Could you process payment by tomorrow?

Thanks,
Lina",invoice,formal,neutral,Lina,Sam,2024-10-05T00:00:00
E00111,Apology for inaccurate invoice,"Dear Maya,

Please accept our sincere apologies for the inaccurate invoice. We are taking immediate steps to ensure this does not happen again. As a goodwill gesture, we'd like to offer expedite the shipment.

Kind regards,
Drew",apology,formal,negative,Drew,Maya,2024-09-27T00:00:00
E00112,Our apologies regarding the hiring pipeline,"Hi Diego,

I'm truly sorry for the inconvenience caused by inaccurate invoice. We've identified the root cause and are working on a fix. I'll keep you updated.

Best,
Cameron",apology,formal,negative,Cameron,Diego,2024-06-23T00:00:00
E00113,Quick introduction — the security audit,"Hi Diego,

My name is Riley and I'm reaching out about the security audit. I'd love to learn more about your work and explore potential collaboration.

Best,
Riley",introduction,neutral,positive,Riley,Diego,2024-06-30T00:00:00
E00114,Exciting news about the analytics dashboard,"Dear Morgan,

We are pleased to announce the analytics dashboard. This will help us update the roadmap. More details to follow soon.

Best regards,
Marco",announcement,formal,positive,Marco,Morgan,2024-08-11T00:00:00
E00115,Issue with the hiring pipeline,"Dear Alex,

I'm writing to express my frustration with downtime. This has caused significant disruption and I would appreciate a prompt response on how you intend to resolve this.

Regards,
Ananya",complaint,formal,negative,Ananya,Alex,2024-08-01T00:00:00
E00116,Thanks for the the new pricing plan,"Hello Sam,

I really appreciate your help with the new pricing plan. Looking forward to working together again.

Thanks,
Lina",thank_you,neutral,positive,Lina,Sam,2024-07-31T00:00:00
E00117,Payment due for the Q3 roadmap,"Dear Chris,

Please find attached invoice INV-01099 for the Q3 roadmap. The amount due is payable by EOD Friday. Let me know if you have any questions.

Regards,
Riley",invoice,formal,neutral,Riley,Chris,2024-09-14T00:00:00
E00118,Quick follow-up regarding the hiring pipeline,"Hello Alex,

Following up on my previous email about the hiring pipeline. Could you share an update by the end of the week?

Best,
Ananya",follow_up,neutral,neutral,Ananya,Alex,2024-07-05T00:00:00
E00119,Can we schedule a call about the partnership agreement?,"Hi Morgan,

I hope you're doing well. Could we schedule a meeting next week to discuss the partnership agreement? I'm flexible on timing — please share a few slots that work for you.

Best regards,
Cameron",meeting_request,formal,neutral,Cameron,Morgan,2024-01-02T00:00:00
E00120,Unacceptable experience with the customer onboarding flow,"Hello Priya,

I am very unhappy with the recent the customer onboarding flow. The billing discrepancy is unacceptable. Please investigate and respond by October 15.

Sincerely,
Cameron",complaint,formal,negative,Cameron,Priya,2024-07-05T00:00:00
E00121,Apology for missing line items,"Hi Chris,

I'm truly sorry for the inconvenience caused by missing line items. We've identified the root cause and are working on a fix. I'll keep you updated.

Best,
Drew",apology,formal,negative,Drew,Chris,2024-11-09T00:00:00
E00122,Can we schedule a call about the security audit?,"Hi Priya,

I hope you're doing well. Could we schedule a meeting next week to discuss the security audit? I'm flexible on timing — please share a few slots that work for you.

Best regards,
Riley",meeting_request,formal,neutral,Riley,Priya,2024-05-21T00:00:00
E00123,Can we schedule a call about the partnership agreement?,"Hi Taylor,

I hope you're doing well. Could we schedule a meeting next week to discuss the partnership agreement? I'm flexible on timing — please share a few slots that work for you.

Best regards,
Jamie",meeting_request,formal,neutral,Jamie,Taylor,2024-09-06T00:00:00
